rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
PPMI_3188_MR_SAG_MPRAGE_GRAPPA	891.0	739.0	1543.0	1412.0	343.0	2797.0	4764.0	2607.0	822.0	4264.0	2319.0	3081.0	1671.0	3196.0	622.0	1547.0	1011.0	647.0	1092.0	1323.0	3875.0	1127.0	4296.0	3623.0	551.0	4216.0	5976.0	4985.0	3595.0	3997.0	264.0	476.0	326.0	2148.0	76143.3	982863.0	1421637.96446
PPMI_3191_MR_SAG_MPRAGE_GRAPPA	820.0	798.0	1969.0	1543.0	240.0	2747.0	4673.0	2545.0	927.0	4854.0	2659.0	3196.0	1810.0	3081.0	618.0	1227.0	1196.0	822.0	1321.0	1647.0	3634.0	1076.0	4664.0	3299.0	649.0	4622.0	5686.0	4789.0	3119.0	3084.0	264.0	359.0	313.0	2578.0	76830.2	971013.0	1318527.54006
PPMI_3257_MR_SAG_FSPGR_3D	1033.0	307.0	1150.0	679.0	415.0	4433.0	4899.0	5760.0	697.0	4091.0	2820.0	1968.0	2269.0	3658.0	922.0	1616.0	593.0	1022.0	802.0	795.0	3582.0	1172.0	2974.0	4164.0	176.0	5735.0	7623.0	6368.0	2074.0	3099.0	357.0	154.0	217.0	1547.0	79161.6	1398763.0	1797043.79675
PPMI_3260_MR_SAG_FSPGR_3D	1078.0	1140.0	2472.0	1804.0	452.0	3029.0	5729.0	3758.0	776.0	5349.0	2783.0	2957.0	1838.0	4091.0	689.0	1738.0	1184.0	1113.0	1612.0	1456.0	4398.0	1093.0	4605.0	4764.0	737.0	8400.0	8535.0	6021.0	3959.0	3934.0	289.0	370.0	354.0	2670.0	95159.4	1128607.0	1509143.06848
PPMI_3264_MR_SAG_FSPGR_3D	543.0	493.0	1836.0	909.0	954.0	2750.0	3027.0	2676.0	144.0	4372.0	2423.0	2127.0	1549.0	1864.0	1001.0	1631.0	928.0	806.0	1165.0	952.0	3273.0	596.0	4468.0	3050.0	495.0	4759.0	8236.0	4302.0	2100.0	2889.0	331.0	317.0	129.0	2342.0	69432.5	1213739.0	1566116.31927
PPMI_3270_MR_SAG_FSPGR_3D	1028.0	878.0	2712.0	1817.0	475.0	2927.0	4310.0	3589.0	853.0	5433.0	2618.0	3170.0	1991.0	3658.0	549.0	1624.0	1523.0	786.0	1441.0	1525.0	3989.0	1004.0	5768.0	3722.0	635.0	6980.0	7838.0	5166.0	3714.0	3045.0	359.0	328.0	375.0	2764.0	88563.4	1105146.0	1546677.50696
PPMI_3271_MR_SAG_FSPGR_3D	978.0	798.0	2065.0	1067.0	893.0	4003.0	5193.0	4007.0	709.0	5095.0	2721.0	2696.0	2420.0	4146.0	1255.0	2164.0	1376.0	815.0	1665.0	920.0	4657.0	1173.0	5221.0	4046.0	797.0	7605.0	8782.0	5929.0	3744.0	3625.0	247.0	427.0	411.0	2659.0	94292.5	1388103.0	1718438.79734
PPMI_3276_MR_SAG_FSPGR_3D	1213.0	716.0	3664.0	991.0	406.0	3089.0	6206.0	3277.0	703.0	4577.0	3411.0	1948.0	2281.0	3956.0	671.0	2000.0	1479.0	868.0	1522.0	691.0	5097.0	1335.0	5692.0	3160.0	608.0	6542.0	9426.0	5529.0	4527.0	4273.0	296.0	363.0	387.0	2845.0	93701.0	1180822.0	1534446.0102
PPMI_3277_MR_SAG_FSPGR_3D	1115.0	839.0	2238.0	1562.0	604.0	4569.0	6306.0	4591.0	1033.0	5755.0	3531.0	3468.0	2550.0	4154.0	803.0	1842.0	1576.0	968.0	1555.0	1402.0	4383.0	1172.0	5336.0	4970.0	785.0	7585.0	9149.0	6010.0	3951.0	4653.0	290.0	707.0	346.0	3395.0	103184.0	1367210.0	1749204.87602
PPMI_3300_MR_MPRAGE_GRAPPA_	956.0	664.0	2419.0	1601.0	363.0	3698.0	5462.0	3362.0	1080.0	5944.0	2579.0	3827.0	1913.0	3339.0	745.0	1412.0	1518.0	818.0	1777.0	1566.0	3980.0	1392.0	5408.0	3733.0	544.0	5378.0	7334.0	4843.0	3572.0	3367.0	312.0	474.0	322.0	2269.0	87961.7	1114822.0	1511904.36256
PPMI_3301_MR_MPRAGE_GRAPPA_	778.0	608.0	2830.0	1885.0	428.0	3402.0	4931.0	3426.0	1207.0	6146.0	2624.0	3838.0	2008.0	3585.0	633.0	1280.0	1334.0	808.0	1343.0	1850.0	4484.0	1163.0	5710.0	4244.0	688.0	5980.0	6709.0	4856.0	3827.0	3933.0	272.0	493.0	361.0	2396.0	90049.6	1142703.0	1572269.53811
PPMI_3310_MR_MPRAGE_GRAPPA_	713.0	625.0	1618.0	1192.0	551.0	2763.0	3986.0	2618.0	721.0	3991.0	2393.0	2288.0	2025.0	2777.0	544.0	1502.0	1307.0	797.0	1464.0	1040.0	3546.0	1002.0	4000.0	3427.0	671.0	5220.0	6097.0	5217.0	3155.0	3253.0	281.0	381.0	284.0	1945.0	73391.2	948041.0	1380180.97497
