lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
PPMI_3635_MR_SAG_T1_3D	2.49	2.674	2.633	1.634	3.106	2.636	2.497	2.877	2.265	2.164	2.703	2.013	2.302	2.831	2.475	2.607	2.653	2.973	2.402	1.446	2.16	2.317	2.721	2.403	2.704	2.367	2.814	2.253	2.751	2.559	2.486	3.641	2.269	2.958	2.50742	1379714.0	1804870.39481
PPMI_3636_MR_SAG_T1_3D	2.59	2.814	2.616	1.976	3.157	2.794	2.456	2.994	2.262	2.171	2.828	2.121	2.63	2.944	2.712	2.606	2.839	2.811	2.57	1.874	2.195	2.474	2.734	2.448	3.226	2.534	2.919	2.349	3.114	2.64	2.949	4.195	2.252	3.313	2.61224	1186130.0	1608845.61271
PPMI_3637_MR_SAG_T1_3D	2.355	2.232	2.573	1.826	3.965	2.763	2.437	2.724	2.352	2.22	2.677	2.119	2.161	2.908	3.045	2.312	2.347	2.823	2.508	1.534	2.053	2.152	2.532	2.495	2.608	2.438	2.701	2.356	2.706	2.532	2.501	3.876	1.805	2.797	2.47653	1043803.0	1385912.41783
PPMI_3750_MR_MPRAGE_GRAPPA_	2.647	2.314	2.463	1.97	2.841	2.599	2.386	2.684	2.418	2.321	2.393	2.215	2.4	2.685	2.475	2.332	2.564	2.468	2.156	1.937	2.189	2.504	2.493	2.429	2.524	2.25	2.455	2.21	2.661	2.443	2.378	3.13	2.481	2.803	2.41898	1244574.0	1829229.11719
PPMI_3756_MR_MPRAGE_GRAPPA_	2.338	2.512	2.388	1.866	3.047	2.538	2.182	2.6	2.645	2.037	2.493	2.109	2.393	2.483	2.932	2.234	2.391	2.361	2.403	1.541	1.841	2.618	2.419	2.328	2.707	2.149	2.49	2.018	2.359	2.055	2.704	3.534	2.028	2.981	2.30468	1164931.0	1691188.38722
PPMI_3759_MR_MPRAGE_GRAPPA_	2.599	2.671	2.522	1.832	3.64	2.772	2.382	2.85	2.189	2.263	2.609	2.118	2.405	2.754	2.998	2.369	2.471	2.587	2.319	1.689	2.068	2.307	2.544	2.4	3.073	2.304	2.652	2.24	2.707	2.441	2.654	3.744	2.535	2.913	2.4683	984075.0	1306761.04558
PPMI_3765_MR_MPRAGE_GRAPPA_	2.373	2.761	2.469	2.004	3.385	2.67	2.281	2.525	2.477	2.164	2.492	1.928	2.351	2.692	2.64	2.396	2.405	2.394	2.259	1.677	1.989	2.396	2.511	2.459	3.324	2.271	2.681	2.095	2.748	2.454	2.656	3.608	2.18	2.869	2.40432	961769.0	1327858.50933
PPMI_3767_MR_MPRAGE_GRAPPA_	2.574	2.695	2.443	2.005	3.062	2.845	2.404	2.809	2.348	2.319	2.632	2.167	2.373	2.793	3.346	2.435	2.355	2.64	2.29	1.679	2.069	2.203	2.622	2.305	2.722	2.225	2.613	2.107	2.587	2.482	2.45	3.5	2.302	2.914	2.43778	1117418.0	1477258.25012
PPMI_3768_MR_MPRAGE_GRAPPA_	2.237	2.607	2.54	1.999	3.233	2.733	2.447	2.73	2.331	2.207	2.534	2.001	2.305	2.826	2.571	2.385	2.364	2.434	2.267	1.701	2.093	2.552	2.523	2.476	2.354	2.271	2.536	2.341	2.543	2.487	2.594	3.3	2.438	2.819	2.42577	1194726.0	1713048.57852
PPMI_3769_MR_MPRAGE_GRAPPA_	2.58	2.416	2.535	1.977	3.603	2.83	2.313	2.914	2.097	2.163	2.506	2.191	2.34	2.823	2.67	2.422	2.517	2.745	2.306	1.72	2.151	2.232	2.565	2.338	2.741	2.387	2.585	2.109	2.772	2.44	2.696	3.381	2.827	2.919	2.45288	1043950.0	1463483.87614
