Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	BrainSegVolNotVentSurf	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	SupraTentorialVolNotVentVox	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0103_MRI_T1-FFE_br_20050118152132951_S6732_I2235	5375.5	299.2	16636.0	60921.2	9556.7	3923.3	5538.7	2101.4	898.1	2658.6	23184.6	4560.8	1846.3	871.7	667.0	4699.9	57.5	600.1	8043.4	486.8	16337.7	63070.4	7940.1	4149.9	5370.9	2261.2	4628.0	1817.9	588.7	4722.1	24.3	581.3	0.0	1980.0	0.0	0.0	0.0	0.0	0.0	210.8	714.7	624.5	580.7	434.2	757.9	1262866.0	1243113.0	1243595.45722	283732.937579	286319.181286	570052.118865	225278.650732	225409.687624	450688.338356	65691.0	760312.118865	1104569.45722	1089300.45722	1085842.0	1693825.0	0.715355	0.959473	219.0	208.0	427.0	1765370.75086
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0104_MRI_T1-FFE_br_raw_20061120165217728_S22717_I30180	17100.7	246.5	14595.6	62442.7	8296.9	3759.5	4576.3	2103.7	1007.1	1773.6	21472.0	3503.6	1461.1	1221.2	436.6	4033.2	34.0	287.4	9793.5	115.9	13492.2	62042.6	7200.0	3803.7	4763.6	2190.1	3648.0	1963.2	485.2	3923.5	23.5	634.5	0.0	773.2	0.0	0.0	0.0	0.0	0.0	170.3	1028.5	616.0	582.0	600.2	1166.6	1328045.0	1296440.0	1297544.76558	278239.455159	274810.885794	553050.340953	266240.673006	267606.751624	533847.42463	57534.0	736619.340953	1174382.76558	1146741.76558	1143200.0	1777378.0	0.74683	0.999513	108.0	139.0	247.0	1778243.48404
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0105_MRI_T1-FFE_br_20050118161100216_S6734_I2237	7827.7	140.1	13821.9	57231.8	8845.6	4622.8	4862.2	2124.5	759.0	2205.4	21437.2	3605.6	1749.8	1082.7	787.9	4211.0	12.2	363.3	4336.6	255.5	11809.1	58332.0	7988.5	4685.5	4879.4	2255.5	3931.0	1838.2	659.8	4182.5	16.1	381.6	0.0	784.3	0.0	0.0	0.0	0.0	0.0	259.5	1045.5	598.5	792.7	818.8	828.8	1233189.0	1215975.0	1217508.50636	267662.565382	264355.341793	532017.907175	238408.15832	243083.440866	481491.599186	62844.0	710986.907175	1091315.50636	1078171.50636	1074635.0	1674049.0	0.724711	0.983793	209.0	235.0	444.0	1701627.82062
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0106_MRI_T1-FFE_br_20050118163438291_S6735_I2238	10531.5	231.1	14577.6	52493.6	8162.6	3854.1	5413.0	1935.3	1074.7	1395.4	21805.8	3778.1	1569.1	1020.0	401.9	5005.2	33.1	638.3	7228.2	282.2	13738.8	55081.6	7821.5	3751.8	5479.4	2033.2	3890.4	1726.5	493.7	4804.9	22.0	528.8	0.0	1593.0	0.0	0.0	0.0	0.0	0.0	164.2	1083.5	613.4	737.8	769.0	988.2	1259827.0	1236865.0	1237295.30723	278626.474376	277413.894052	556040.368428	242901.098429	240200.840373	483101.938802	61515.0	726204.368428	1123019.30723	1103573.30723	1100134.0	1652309.0	0.738773	0.968928	248.0	237.0	485.0	1705296.70819
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0107_MRI_T1-FFE_br_20050118165408211_S6736_I2239	11589.5	384.4	16484.2	63338.5	9786.0	3991.4	5539.1	2283.5	1040.1	2307.8	25024.3	4331.5	1568.3	1161.7	732.6	4804.1	9.7	212.4	10004.2	426.7	15813.9	67710.0	8552.9	4235.8	5473.5	2270.1	4365.2	1763.5	474.2	4730.3	8.2	836.0	0.0	1573.9	0.0	0.0	0.0	0.0	0.0	319.1	986.0	518.2	505.8	660.9	951.7	1401531.0	1373670.0	1374690.07343	306126.033453	306571.697502	612697.730955	265491.439967	267002.902513	532494.34248	66623.0	810430.730955	1237581.07343	1214162.07343	1210605.0	1854106.0	0.727208	0.962034	330.0	336.0	666.0	1927277.60914
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0108_MRI_T1-FFE_br_20050118170551627_S6737_I2240	8085.5	278.1	14668.2	70952.7	9442.3	4087.1	5729.6	2172.1	851.6	2642.4	27205.5	4370.2	1719.0	761.4	606.4	4894.5	23.4	593.6	7569.7	401.5	14858.8	69778.4	8228.6	4355.8	5802.1	2248.8	4633.2	1869.8	591.0	5101.6	5.1	571.8	0.0	2056.7	0.0	0.0	0.0	0.0	0.0	229.7	763.6	533.5	408.6	577.7	746.2	1315897.0	1294239.0	1295550.42518	273848.862469	272788.156753	546637.019223	254221.146627	258030.259327	512251.405954	67230.0	754521.019223	1145041.42518	1127645.42518	1124607.0	1793853.0	0.721537	0.983612	191.0	220.0	411.0	1823740.60185
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0109_MRI_T1-FFE_br_20050118172137578_S6738_I2241	6591.4	315.2	17548.4	63317.9	9549.2	3730.9	5398.4	2399.1	748.9	2256.8	25737.9	4257.4	1617.4	1063.2	601.2	4877.7	12.7	559.3	4995.1	204.9	16291.6	62842.8	9431.7	3869.3	5294.1	2355.0	4377.7	1919.5	614.2	4893.0	14.4	503.6	0.0	2450.4	0.0	0.0	0.0	0.0	0.0	277.4	1215.8	746.8	847.1	743.2	945.3	1358137.0	1340959.0	1341333.81786	283861.431032	284162.889525	568024.320557	274307.407086	272182.090215	546489.497301	66355.0	761509.320557	1197320.81786	1184230.81786	1180287.0	1789756.0	0.768262	1.012417	278.0	341.0	619.0	1767804.29547
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0110_MRI_T1-FFE_br_20050118173408530_S6739_I2242	8593.9	202.2	11318.9	52784.1	8562.3	3323.5	4691.7	2038.0	1015.1	1676.2	20822.1	3624.4	1492.6	1414.0	545.0	4050.6	16.4	627.5	12281.9	382.2	12224.7	55638.8	7577.6	3384.8	4846.1	1951.3	3586.9	1563.3	565.4	4012.2	16.9	439.1	0.0	1236.7	0.0	0.0	0.0	0.0	0.0	199.6	904.6	384.4	458.9	459.8	790.2	1201915.0	1175383.0	1177112.95905	264725.880768	266932.431216	531658.311984	227149.466094	228375.180969	455524.647063	57217.0	698584.311984	1069311.95905	1046900.95905	1042496.0	1603873.0	0.713337	0.9519	249.0	264.0	513.0	1684917.74468
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0111_MRI_T1-FFE_br_20050119152827657_S6220_I2243	4300.8	274.1	12795.8	48353.9	8320.5	3604.8	4845.0	2252.1	1055.4	1986.8	21056.9	4014.4	1607.4	1049.0	512.5	4413.1	46.7	338.8	3673.8	466.0	11678.3	49899.0	7641.6	3497.6	4663.3	2341.7	4105.1	1741.7	520.8	4565.7	25.1	285.2	0.0	2727.1	0.0	0.0	0.0	0.0	0.0	219.0	907.0	458.2	689.4	611.7	546.0	1180963.0	1167561.0	1167796.32773	253432.482928	253146.10756	506578.590488	236382.138495	241651.59875	478033.737245	60039.0	665887.590488	1056380.32773	1047200.32773	1044303.0	1614655.0	0.707974	0.967968	234.0	304.0	538.0	1668087.63368
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0112_MRI_T1-FFE_br_20050119153848440_S6219_I2244	5444.8	356.9	17382.3	64872.0	9134.6	3831.8	5230.9	2151.5	1196.5	2174.3	24674.7	4382.5	1457.5	1026.3	643.5	4225.7	29.2	473.2	5107.7	216.9	17930.8	61898.4	8224.6	4085.7	5097.3	2363.3	4064.1	1435.3	560.9	4160.2	22.8	329.7	0.0	3103.0	0.0	0.0	0.0	0.0	0.0	184.7	726.1	366.6	591.5	534.3	676.5	1345352.0	1329090.0	1330555.16181	296829.921373	294628.062755	591457.984128	255828.872559	258283.305119	514112.177678	62289.0	781379.984128	1182058.16181	1170186.16181	1166257.0	1828913.0	0.735546	0.999924	294.0	276.0	570.0	1829052.02158
