rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
PPMI_3000_MR_sag_3D_FSPGR	2.662	2.387	2.441	2.097	3.606	2.918	2.321	2.672	2.621	2.255	2.561	2.138	2.302	2.683	2.955	2.455	2.336	2.364	2.154	1.89	2.09	2.203	2.437	2.36	2.95	2.28	2.541	2.16	2.527	2.263	2.097	4.034	2.546	3.032	2.41109	1112129.0	1570036.34553
PPMI_3004_MR_sag_3D_FSPGR	2.763	2.569	2.447	1.797	3.662	2.837	2.552	2.727	2.333	2.413	2.456	1.933	2.316	2.712	2.802	2.356	2.492	2.542	2.195	1.532	1.928	2.328	2.579	2.527	2.626	2.284	2.666	2.322	2.645	2.351	2.456	3.73	2.469	2.92	2.46251	1182861.0	1619300.61237
PPMI_3008_MR_sag_3D_FSPGR	2.734	2.597	2.285	1.957	3.384	2.742	2.329	2.451	2.782	2.107	2.398	2.118	2.084	2.176	2.823	2.278	2.376	2.308	2.117	1.766	2.271	2.416	1.919	2.251	2.931	2.265	2.379	2.053	2.317	2.139	2.471	3.526	2.22	2.824	2.28391	875320.0	1281114.98126
PPMI_3011_MR_sag_3D_FSPGR	2.986	2.592	2.546	1.931	3.473	3.04	2.63	2.582	3.093	2.424	2.85	2.296	2.408	2.68	2.749	2.371	2.529	3.019	2.598	1.854	2.245	2.567	2.555	2.69	2.721	2.329	2.754	2.373	2.824	2.616	2.683	3.937	2.613	3.054	2.59177	1257879.0	1723197.20107
PPMI_3013_MR_SAG_3D_FSPGR	2.642	2.054	2.452	1.713	3.433	2.661	2.329	2.528	2.221	2.127	2.371	2.102	2.292	2.571	2.325	2.23	2.421	2.444	2.519	1.6	1.944	2.156	2.332	2.236	2.772	2.196	2.495	2.111	2.531	2.286	2.658	4.189	2.617	2.845	2.32739	1189215.0	1639834.0665
PPMI_3016_MR_sag_3D_FSPGR	2.764	2.441	2.481	1.856	3.356	2.971	2.478	2.949	2.5	2.295	2.598	2.196	2.272	2.473	2.845	2.297	2.561	2.585	2.419	1.559	1.994	2.071	2.342	2.547	2.571	2.392	2.602	2.25	2.512	2.33	2.509	4.001	2.263	3.23	2.45035	1148332.0	1590741.82615
PPMI_3029_MR_SAG_FSPGR_BRAVO	2.567	2.326	2.245	1.955	3.173	2.744	2.181	2.935	2.397	2.131	2.468	1.967	2.256	2.755	2.878	2.367	2.398	2.501	2.251	1.708	2.08	2.558	2.357	2.416	2.796	2.145	2.479	2.189	2.556	2.317	2.621	3.411	2.092	2.529	2.3487	1132311.0	1589543.45583
PPMI_3104_MR_MPRAGE_GRAPPA_	2.51	2.517	2.584	1.957	3.675	2.937	2.459	2.817	2.515	2.29	2.472	2.22	2.352	2.815	2.686	2.305	2.565	2.541	2.407	1.741	2.125	2.671	2.499	2.379	2.942	2.281	2.574	2.208	2.668	2.61	2.467	3.51	2.584	2.943	2.47536	1027932.0	1538036.05028
PPMI_3112_MR_MPRAGE_GRAPPA_	2.381	2.41	2.506	1.773	3.204	2.466	2.339	2.636	2.443	2.159	2.594	1.932	2.295	2.65	2.471	2.363	2.406	2.455	2.328	1.463	1.976	2.298	2.279	2.328	2.636	2.257	2.575	2.109	2.451	2.47	2.507	3.218	2.065	2.762	2.33426	921570.0	1283228.74818
PPMI_3114_MR_MPRAGE_GRAPPA_	2.627	2.531	2.441	2.019	2.968	2.734	2.639	2.755	2.486	2.233	2.762	2.212	2.557	2.875	2.809	2.413	2.656	2.909	2.405	1.935	2.199	2.452	2.52	2.406	2.949	2.549	2.678	2.339	2.768	2.605	3.125	3.666	2.518	2.97	2.5273	957948.0	1314766.77518
PPMI_3115_MR_MPRAGE_GRAPPA_	2.593	2.207	2.417	1.82	3.208	2.747	2.454	2.618	2.374	2.205	2.444	2.049	2.311	2.826	2.702	2.438	2.48	2.435	2.335	1.709	2.132	2.29	2.472	2.384	2.725	2.243	2.593	2.228	2.642	2.497	2.436	3.447	2.237	2.943	2.42059	1210529.0	1665044.53135
