lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
ADNI_067_S_0024_MR_MPRAGE_br_raw	860.0	620.0	1743.0	1149.0	475.0	2782.0	4442.0	2939.0	890.0	4484.0	2590.0	2758.0	2109.0	2444.0	607.0	1144.0	1377.0	729.0	1036.0	1188.0	3480.0	948.0	3884.0	3250.0	826.0	5609.0	6262.0	4491.0	3176.0	2935.0	270.0	543.0	317.0	2035.0	74389.0	969370.0	1493623.77833
ADNI_067_S_0056_MR_MPRAGE_br_raw	678.0	527.0	1446.0	1283.0	410.0	2725.0	3445.0	2412.0	735.0	3725.0	2621.0	2371.0	1624.0	2210.0	644.0	1185.0	1273.0	711.0	1422.0	1162.0	3271.0	1044.0	3779.0	3326.0	679.0	5114.0	6319.0	4536.0	3350.0	3143.0	224.0	495.0	346.0	2357.0	70565.3	951385.0	1339372.01208
ADNI_067_S_0059_MR_MPRAGE_br_raw	717.0	446.0	1784.0	1347.0	285.0	2151.0	2842.0	2232.0	821.0	4091.0	2198.0	2608.0	1749.0	2319.0	523.0	1129.0	1102.0	421.0	1006.0	1233.0	3191.0	931.0	3558.0	3055.0	679.0	4306.0	5542.0	4471.0	3317.0	3321.0	222.0	345.0	372.0	1896.0	66209.8	873406.0	1236088.53333
ADNI_067_S_0177_MR_MPRAGE_br_raw	847.0	490.0	1907.0	1205.0	496.0	2246.0	3332.0	2725.0	776.0	3553.0	2134.0	2012.0	1608.0	2694.0	619.0	920.0	1153.0	584.0	1069.0	1013.0	3391.0	889.0	4162.0	2640.0	571.0	4665.0	5837.0	4208.0	3250.0	3070.0	208.0	406.0	340.0	2153.0	67165.7	856682.0	1443723.37518
ADNI_067_S_0257_MR_MPRAGE_br_raw	774.0	476.0	1741.0	1093.0	395.0	2564.0	3274.0	2654.0	752.0	3867.0	2101.0	2315.0	1297.0	2564.0	546.0	1236.0	1137.0	509.0	827.0	1039.0	3595.0	959.0	4190.0	2564.0	611.0	4044.0	6146.0	3741.0	3074.0	2859.0	188.0	523.0	327.0	2390.0	66366.8	856002.0	1332342.50112
ADNI_073_S_0089_MR_MPRAGE_br_raw	1023.0	630.0	2122.0	1192.0	470.0	3014.0	3986.0	3490.0	930.0	5145.0	2489.0	2824.0	1715.0	3063.0	574.0	1344.0	1412.0	621.0	1309.0	982.0	3810.0	1218.0	4838.0	3520.0	757.0	5471.0	6699.0	4935.0	4043.0	3924.0	265.0	457.0	490.0	2123.0	80870.2	1085584.0	1568854.64891
ADNI_073_S_0311_MR_MPRAGE_br_raw	667.0	432.0	1770.0	1374.0	367.0	2663.0	3187.0	2454.0	949.0	3868.0	2142.0	2784.0	1645.0	1924.0	600.0	1203.0	1361.0	586.0	1083.0	1456.0	3458.0	840.0	4233.0	3233.0	526.0	4071.0	5292.0	5035.0	3564.0	3293.0	234.0	418.0	440.0	1970.0	69119.8	847413.0	1349570.47321
ADNI_073_S_0312_MR_MPRAGE_br_raw	1026.0	561.0	2203.0	1473.0	489.0	3378.0	4896.0	3977.0	1025.0	5116.0	2682.0	3297.0	2131.0	3490.0	764.0	1476.0	1391.0	761.0	1223.0	1577.0	4275.0	1008.0	5078.0	3933.0	956.0	5870.0	7205.0	5968.0	3573.0	3173.0	249.0	422.0	366.0	2342.0	87340.8	1093780.0	1719420.75679
ADNI_073_S_0386_MR_MPRAGE_br_raw	799.0	582.0	2063.0	1282.0	457.0	2869.0	3988.0	2677.0	1080.0	4726.0	2301.0	2896.0	1556.0	2520.0	595.0	1327.0	1525.0	609.0	1148.0	1309.0	3640.0	992.0	4669.0	3312.0	848.0	4790.0	6282.0	4015.0	3971.0	4119.0	294.0	461.0	357.0	2297.0	76351.8	1030466.0	1527112.73581
ADNI_082_S_0304_MR_MPRAGE_br_raw	967.0	613.0	2028.0	1331.0	529.0	3258.0	5392.0	4015.0	1072.0	5834.0	2851.0	2979.0	2357.0	3034.0	628.0	1628.0	1855.0	793.0	1492.0	1309.0	4587.0	1136.0	5410.0	4173.0	1011.0	5330.0	7643.0	6210.0	4481.0	4879.0	282.0	500.0	503.0	2565.0	92672.3	1219127.0	1712765.80044
ADNI_082_S_0363_MR_MPRAGE_br_raw	1006.0	765.0	2189.0	1074.0	607.0	2754.0	4040.0	3685.0	996.0	3598.0	2821.0	2386.0	2125.0	3142.0	632.0	1396.0	1794.0	708.0	1355.0	859.0	3679.0	1192.0	4513.0	3316.0	840.0	5245.0	6790.0	4962.0	3523.0	3857.0	283.0	514.0	358.0	2410.0	79409.8	1052694.0	1642312.30585
ADNI_099_S_0040_MR_MPRAGE_br_raw	973.0	599.0	1949.0	1467.0	400.0	2890.0	4583.0	3203.0	1018.0	4788.0	2646.0	2632.0	2071.0	3100.0	625.0	1316.0	1749.0	655.0	1395.0	1159.0	4028.0	1130.0	4621.0	3587.0	832.0	4978.0	6858.0	5500.0	3488.0	4116.0	250.0	488.0	440.0	2373.0	81901.6	1028183.0	1623764.21711
ADNI_099_S_0090_MR_MPRAGE_br_raw	1063.0	489.0	2060.0	1448.0	457.0	2791.0	4262.0	3270.0	910.0	4777.0	2657.0	2865.0	1973.0	3104.0	583.0	1226.0	1063.0	651.0	1230.0	1675.0	3790.0	1020.0	3951.0	3201.0	696.0	4687.0	7232.0	4715.0	3545.0	3500.0	198.0	499.0	368.0	2166.0	78116.7	1031293.0	1572076.23939
ADNI_099_S_0352_MR_MPRAGE_br_raw	808.0	635.0	1580.0	1277.0	336.0	3087.0	3716.0	3130.0	738.0	4140.0	2017.0	2305.0	1429.0	2437.0	564.0	1137.0	1481.0	574.0	1281.0	997.0	3205.0	1014.0	4254.0	2725.0	863.0	4439.0	5821.0	4770.0	3196.0	3041.0	282.0	502.0	388.0	2173.0	70338.0	814023.0	1271531.73978
ADNI_099_S_0533_MR_MPRAGE_br_raw	963.0	471.0	1868.0	1379.0	331.0	3368.0	4077.0	3242.0	696.0	5065.0	2788.0	2731.0	2080.0	2750.0	665.0	1422.0	1574.0	720.0	1303.0	1227.0	3646.0	740.0	4050.0	3638.0	765.0	5398.0	6683.0	5636.0	3802.0	4128.0	196.0	412.0	458.0	2340.0	80474.5	1059660.0	1727621.24203
ADNI_099_S_0534_MR_MPRAGE_br_raw	1033.0	591.0	2440.0	1763.0	496.0	3107.0	4282.0	3439.0	1212.0	6162.0	2874.0	3177.0	1795.0	3679.0	747.0	1419.0	1942.0	658.0	1214.0	1181.0	4043.0	1164.0	5176.0	4110.0	1035.0	6151.0	7763.0	5183.0	4445.0	4854.0	227.0	467.0	535.0	2516.0	90876.0	1202870.0	1782269.82422
ADNI_109_S_0840_MR_MPRAGE_br_raw	789.0	574.0	1801.0	1244.0	463.0	2394.0	3443.0	2634.0	787.0	4113.0	2071.0	2633.0	1555.0	2304.0	631.0	1134.0	1147.0	541.0	975.0	1272.0	3564.0	912.0	4378.0	2791.0	738.0	4447.0	6099.0	4802.0	3071.0	2968.0	229.0	451.0	308.0	1936.0	69194.5	900366.0	1309149.53025
