rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0103_MRI_T1-FFE_br_20050118152132951_S6732_I2235	1899.0	2037.0	7199.0	3677.0	2106.0	11640.0	17247.0	14755.0	3123.0	14285.0	9592.0	7707.0	6902.0	15270.0	2384.0	4988.0	5432.0	2959.0	5255.0	2763.0	9389.0	4333.0	13479.0	14435.0	2168.0	18026.0	26680.0	18933.0	13152.0	13335.0	1217.0	2637.0	1206.0	8249.0	1243113.0	1765370.75086
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0104_MRI_T1-FFE_br_raw_20061120165217728_S22717_I30180	2594.0	2324.0	6841.0	3686.0	1403.0	9526.0	16480.0	11896.0	2347.0	15038.0	8810.0	7254.0	6316.0	15434.0	1784.0	3862.0	3650.0	3632.0	5707.0	2561.0	10599.0	3991.0	13351.0	13167.0	2759.0	20582.0	26593.0	16402.0	12784.0	12328.0	1179.0	2068.0	867.0	8659.0	1296440.0	1778243.48404
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0105_MRI_T1-FFE_br_20050118161100216_S6734_I2237	2792.0	2717.0	7076.0	3139.0	2211.0	11268.0	18109.0	11803.0	2878.0	15806.0	8944.0	7209.0	6240.0	13329.0	2162.0	4906.0	4892.0	3514.0	5405.0	2201.0	10291.0	4009.0	15501.0	10178.0	2711.0	17497.0	23340.0	13018.0	11272.0	8940.0	1330.0	2855.0	1020.0	7850.0	1215975.0	1701627.82062
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0106_MRI_T1-FFE_br_20050118163438291_S6735_I2238	2345.0	1844.0	6476.0	5148.0	3234.0	9436.0	17171.0	11260.0	3437.0	17713.0	8200.0	8888.0	7098.0	11659.0	2252.0	5208.0	4536.0	3413.0	4876.0	4540.0	9153.0	3608.0	14871.0	10826.0	1512.0	20694.0	27195.0	15346.0	12810.0	11553.0	784.0	2302.0	1046.0	8528.0	1236865.0	1705296.70819
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0107_MRI_T1-FFE_br_20050118165408211_S6736_I2239	3003.0	1915.0	8007.0	4431.0	2165.0	12204.0	18968.0	12337.0	3013.0	16586.0	8667.0	10540.0	6325.0	15308.0	2194.0	5227.0	4540.0	3819.0	4952.0	3063.0	12621.0	3905.0	14878.0	13624.0	2503.0	24385.0	28307.0	17085.0	14326.0	16872.0	1344.0	2378.0	1134.0	8903.0	1373670.0	1927277.60914
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0108_MRI_T1-FFE_br_20050118170551627_S6737_I2240	2147.0	2848.0	6097.0	3368.0	2112.0	12201.0	17529.0	13069.0	2917.0	12336.0	8878.0	7914.0	5516.0	13269.0	1990.0	4210.0	4602.0	2750.0	5449.0	2586.0	9248.0	4115.0	13003.0	14295.0	3023.0	19946.0	23186.0	14794.0	13143.0	14686.0	1225.0	2202.0	925.0	8662.0	1294239.0	1823740.60185
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0109_MRI_T1-FFE_br_20050118172137578_S6738_I2241	3263.0	3041.0	6395.0	3859.0	2748.0	11562.0	17812.0	13429.0	2932.0	15639.0	9209.0	8222.0	6842.0	12277.0	2387.0	3649.0	4296.0	3349.0	5262.0	3014.0	11614.0	4582.0	13407.0	13518.0	2581.0	18803.0	22119.0	18707.0	13339.0	14654.0	1406.0	3113.0	876.0	8002.0	1340959.0	1767804.29547
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0110_MRI_T1-FFE_br_20050118173408530_S6739_I2242	1789.0	1829.0	5801.0	3354.0	1436.0	9827.0	13168.0	9482.0	2362.0	14930.0	9382.0	6755.0	7409.0	13311.0	1518.0	5501.0	4976.0	3232.0	6031.0	2325.0	11122.0	3112.0	13647.0	11648.0	2795.0	25536.0	26521.0	12737.0	13736.0	10140.0	1425.0	2355.0	928.0	8633.0	1175383.0	1684917.74468
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0111_MRI_T1-FFE_br_20050119152827657_S6220_I2243	2840.0	1928.0	6789.0	3471.0	1499.0	8812.0	16156.0	11809.0	3176.0	10122.0	7946.0	7514.0	6956.0	13646.0	2091.0	4188.0	4524.0	2524.0	4930.0	3167.0	11211.0	3707.0	12638.0	12160.0	2418.0	17638.0	24341.0	12610.0	12198.0	10555.0	1043.0	2481.0	788.0	7330.0	1167561.0	1668087.63368
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0112_MRI_T1-FFE_br_20050119153848440_S6219_I2244	2776.0	2353.0	5737.0	3962.0	1439.0	11599.0	18498.0	12261.0	3114.0	18220.0	9460.0	7809.0	7060.0	13626.0	1929.0	4908.0	4566.0	3702.0	5041.0	2063.0	13262.0	4052.0	16151.0	14592.0	2390.0	19758.0	28568.0	17646.0	12884.0	13905.0	1289.0	2148.0	1369.0	9101.0	1329090.0	1829052.02158
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0120_MRI_T1-FFE_br_20050119170035110_S6745_I2252	2741.0	2304.0	6478.0	3377.0	1214.0	9629.0	18979.0	10783.0	2707.0	11968.0	7597.0	8272.0	5728.0	13513.0	2090.0	4537.0	4877.0	2489.0	6169.0	2549.0	11767.0	3615.0	13979.0	12211.0	2448.0	18134.0	22372.0	15837.0	13338.0	10790.0	1140.0	2007.0	913.0	6931.0	1145185.0	1566255.7633
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0123_MRI_T1-FFE_br_20050119172612525_S6748_I2255	2619.0	1645.0	5905.0	4489.0	1487.0	9808.0	18269.0	13149.0	2418.0	15893.0	7302.0	8322.0	5939.0	14051.0	2464.0	4348.0	4474.0	2715.0	5451.0	3030.0	10016.0	3536.0	13146.0	10959.0	1932.0	17973.0	22811.0	16856.0	12660.0	8893.0	1392.0	3173.0	851.0	7359.0	1213799.0	1658199.49136
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0124_MRI_T1-FFE_br_20050119173531116_S6749_I2256	2188.0	2046.0	6961.0	3492.0	1576.0	8757.0	15890.0	11331.0	2598.0	14296.0	8188.0	6877.0	5688.0	12077.0	1995.0	3712.0	4830.0	2998.0	4058.0	2275.0	10005.0	3324.0	14528.0	10477.0	2312.0	16499.0	22439.0	12620.0	12798.0	9425.0	1234.0	2539.0	974.0	6459.0	1099233.0	1453130.0447
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0127_MRI_T1-FFE_br_20050121144857709_S6793_I2389	2181.0	1923.0	6117.0	3808.0	1774.0	11267.0	16353.0	11763.0	1985.0	12680.0	7411.0	6218.0	5979.0	12975.0	1958.0	3458.0	3926.0	2705.0	4535.0	2272.0	9475.0	3551.0	12867.0	10765.0	2692.0	16997.0	23758.0	13753.0	12151.0	8614.0	1319.0	2625.0	895.0	6568.0	1155113.0	1616575.87028
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0128_MRI_T1-FFE_br_20050121145757004_S6794_I2390	1683.0	2317.0	4223.0	3118.0	907.0	6059.0	10977.0	4716.0	1993.0	11953.0	6190.0	6092.0	5405.0	9526.0	1137.0	3719.0	3422.0	2438.0	3967.0	2188.0	7747.0	2866.0	9851.0	8057.0	1989.0	15352.0	16792.0	11298.0	9193.0	7751.0	1014.0	1162.0	924.0	5928.0	1007289.0	1459403.69085
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0131_MRI_T1-FFE_br_20050121151656773_S6795_I2391	2701.0	3685.0	11631.0	2792.0	1887.0	11343.0	18299.0	14487.0	2796.0	14606.0	10652.0	6047.0	6835.0	16545.0	2329.0	5448.0	6229.0	4342.0	5150.0	1855.0	10399.0	5139.0	16746.0	11901.0	3771.0	23414.0	31226.0	15154.0	17189.0	12517.0	1178.0	2619.0	1021.0	8133.0	1399515.0	1900166.51577
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0133_MRI_T1-FFE_br_20050121152504154_S6796_I2392	2698.0	2489.0	5975.0	3976.0	1886.0	9533.0	15824.0	12393.0	2435.0	14012.0	8852.0	8101.0	6770.0	15898.0	2309.0	4207.0	5334.0	3076.0	5566.0	3072.0	9961.0	3476.0	14336.0	12833.0	2516.0	18581.0	23496.0	15144.0	13121.0	11815.0	1213.0	2732.0	999.0	7366.0	1161894.0	1694378.48688
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0134_MRI_T1-FFE_br_20050121153258677_S6797_I2393	2529.0	2244.0	8041.0	3140.0	1871.0	10435.0	18981.0	13679.0	2014.0	12008.0	8055.0	7416.0	6778.0	15221.0	2197.0	4940.0	4379.0	3116.0	5173.0	1916.0	9899.0	3948.0	14643.0	11166.0	2198.0	20112.0	26310.0	15594.0	14820.0	11828.0	1058.0	2613.0	1094.0	8397.0	1226834.0	1674816.7935
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0135_MRI_T1-FFE_br_20050121154151393_S6798_I2394	3275.0	2227.0	8686.0	4171.0	1235.0	12018.0	16951.0	14365.0	2842.0	14406.0	9061.0	8407.0	5811.0	14594.0	2523.0	4994.0	4621.0	3292.0	5827.0	3148.0	11431.0	4523.0	14990.0	11745.0	2941.0	20162.0	29876.0	13805.0	16178.0	14228.0	1197.0	2454.0	1128.0	9500.0	1310810.0	1814822.2865
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0138_MRI_T1-FFE_br_20050121155947068_S6800_I2396	3087.0	3276.0	8411.0	2800.0	2161.0	12121.0	20732.0	13622.0	2832.0	14969.0	9951.0	7589.0	6505.0	14369.0	2161.0	4787.0	4350.0	3937.0	4405.0	1605.0	11475.0	4550.0	15098.0	13068.0	4064.0	22421.0	29370.0	14890.0	15658.0	10225.0	1506.0	3209.0	1006.0	9841.0	1411009.0	1906090.29835
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0139_MRI_T1-FFE_br_20050121160950536_S6801_I2397	2356.0	2027.0	5329.0	3183.0	1587.0	7908.0	16299.0	9997.0	2101.0	9366.0	7208.0	6539.0	5787.0	13343.0	1684.0	4246.0	3149.0	2828.0	3477.0	1765.0	10269.0	3305.0	12216.0	9860.0	2030.0	16792.0	19214.0	14173.0	11011.0	8963.0	1054.0	2630.0	771.0	6958.0	1073147.0	1435341.55726
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0140_MRI_T1-FFE_br_20050121161909239_S6802_I2398	2993.0	2069.0	6148.0	3968.0	2426.0	9514.0	17648.0	10756.0	2432.0	13980.0	7866.0	6801.0	6467.0	14179.0	2511.0	4184.0	4851.0	2968.0	4837.0	3301.0	10873.0	3564.0	14417.0	11044.0	2320.0	19693.0	24126.0	14401.0	13318.0	10959.0	1039.0	2299.0	925.0	8195.0	1177967.0	1556682.97912
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0143_MRI_T1-FFE_br_20050125142049828_S6896_I2653	3049.0	2267.0	5792.0	3839.0	1415.0	8805.0	19890.0	9452.0	2340.0	12037.0	8881.0	7669.0	6886.0	14032.0	2124.0	4555.0	4378.0	2960.0	5141.0	2710.0	9710.0	3834.0	15908.0	12233.0	3175.0	21933.0	25861.0	15706.0	13845.0	11779.0	1336.0	2249.0	1035.0	7371.0	1206075.0	1654773.48503
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0144_MRI_T1-FFE_br_20050125144008242_S6897_I2654	2879.0	2722.0	7847.0	4501.0	2309.0	10707.0	14041.0	11849.0	2531.0	15282.0	9679.0	8847.0	6534.0	11533.0	1828.0	4952.0	3762.0	3375.0	5508.0	3376.0	9521.0	3665.0	15578.0	12611.0	2542.0	22320.0	27551.0	15129.0	12560.0	10286.0	1680.0	3119.0	980.0	7753.0	1286820.0	1716940.44972
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0146_MRI_T1-FFE_br_20050125171831329_S6899_I2656	2548.0	2519.0	7268.0	5167.0	2005.0	12253.0	17908.0	11437.0	3075.0	16813.0	9847.0	5255.0	6457.0	13152.0	1655.0	4811.0	5343.0	3677.0	6401.0	2690.0	10733.0	3988.0	14217.0	12880.0	2670.0	21159.0	28974.0	16953.0	13415.0	10561.0	1462.0	2431.0	1222.0	7597.0	1269498.0	1742185.5767
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0148_MRI_T1-FFE_br_20050125172641960_S6900_I2657	2638.0	3027.0	7313.0	3852.0	1650.0	10571.0	14753.0	13536.0	2835.0	12587.0	9859.0	8816.0	5911.0	15226.0	1794.0	5829.0	4616.0	3470.0	5552.0	2880.0	12331.0	4608.0	15968.0	13414.0	2621.0	23632.0	28424.0	16924.0	14637.0	13626.0	1233.0	2998.0	1307.0	7675.0	1286008.0	1694873.34175
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0150_MRI_T1-FFE_br_20050125181019797_S6902_I2659	3251.0	3232.0	7380.0	3401.0	979.0	6982.0	15111.0	11501.0	2363.0	11085.0	7771.0	6117.0	5756.0	13617.0	1818.0	5083.0	4105.0	2629.0	3829.0	2148.0	9501.0	4143.0	13058.0	9727.0	2537.0	16882.0	24254.0	11699.0	13055.0	11104.0	1632.0	1384.0	1090.0	7021.0	1108826.0	1544312.76247
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0151_MRI_T1-FFE_br_20050125181715581_S6903_I2660	3107.0	4482.0	7959.0	3741.0	1648.0	8616.0	19979.0	11895.0	2965.0	13832.0	9116.0	7426.0	6960.0	14921.0	1950.0	4914.0	4268.0	2943.0	4540.0	2265.0	10765.0	4854.0	16115.0	11730.0	3744.0	20340.0	29502.0	15945.0	14054.0	11769.0	1087.0	2339.0	1096.0	8578.0	1325634.0	1870120.83611
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0152_MRI_T1-FFE_br_20050125182446495_S6904_I2661	2193.0	2273.0	5294.0	3638.0	1379.0	9696.0	14650.0	9671.0	2373.0	11700.0	8024.0	7018.0	5545.0	11903.0	1820.0	4053.0	3649.0	2637.0	4994.0	2703.0	8429.0	3343.0	12076.0	10113.0	2438.0	18449.0	22599.0	14194.0	10100.0	11778.0	1188.0	2305.0	876.0	6088.0	1039448.0	1454933.12193
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0153_MRI_T1-FFE_br_20050128135224765_S6980_I2970	2427.0	3297.0	8065.0	4045.0	1933.0	9642.0	14534.0	13395.0	3339.0	15859.0	8868.0	7707.0	6218.0	13966.0	1878.0	4628.0	6127.0	2530.0	5756.0	2708.0	11035.0	4386.0	14781.0	11824.0	1981.0	18597.0	23619.0	14662.0	14427.0	10630.0	1009.0	2820.0	927.0	7558.0	1247326.0	1714206.15839
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0155_MRI_T1-FFE_br_20050128140614951_S6981_I2971	2424.0	2626.0	5942.0	3405.0	2093.0	10052.0	16128.0	15111.0	2637.0	13465.0	8587.0	6810.0	5924.0	14469.0	2343.0	5062.0	4224.0	3574.0	5181.0	1816.0	7753.0	3728.0	12109.0	12097.0	2591.0	21396.0	25436.0	15781.0	13416.0	9793.0	1037.0	1915.0	973.0	7568.0	1174687.0	1603301.98458
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0156_MRI_T1-FFE_br_20050131132959063_S6982_I2972	2292.0	2354.0	6035.0	2684.0	2008.0	8551.0	17141.0	11178.0	2717.0	12704.0	7248.0	7013.0	5602.0	13601.0	1905.0	3723.0	4602.0	3318.0	5385.0	1970.0	9614.0	3848.0	12538.0	10567.0	2538.0	17016.0	20074.0	13910.0	12047.0	10665.0	712.0	2129.0	1313.0	7287.0	1133976.0	1486809.74197
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0202_MRI_T1-FFE_br_20050131142403725_S6987_I2977	2716.0	2300.0	6424.0	2760.0	1367.0	8042.0	16845.0	9303.0	2227.0	9051.0	7993.0	6255.0	5655.0	13277.0	1868.0	4308.0	3761.0	2475.0	3854.0	1611.0	9021.0	3572.0	13948.0	11390.0	1910.0	17197.0	22983.0	12049.0	12202.0	12344.0	898.0	1771.0	885.0	6848.0	1140478.0	1526764.47193
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0204_MRI_T1-FFE_br_20050131144609703_S6989_I2979	2500.0	1672.0	5076.0	2466.0	1651.0	8265.0	18021.0	11343.0	2731.0	10598.0	9076.0	6650.0	6188.0	16041.0	2209.0	3752.0	4110.0	3200.0	5182.0	1798.0	11077.0	3581.0	11942.0	10990.0	2435.0	18737.0	23212.0	15252.0	14693.0	10097.0	1076.0	2634.0	1060.0	7543.0	1117741.0	1487742.62241
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0206_MRI_T1-FFE_br_20050131150346817_S6991_I2981	2314.0	2694.0	5129.0	3393.0	1328.0	7839.0	11693.0	9432.0	2542.0	9755.0	7006.0	6280.0	5249.0	11077.0	1912.0	3100.0	3983.0	2738.0	4686.0	2350.0	8386.0	3413.0	14512.0	9074.0	1951.0	14681.0	22143.0	11768.0	11120.0	8699.0	1544.0	2218.0	990.0	6614.0	992551.0	1356377.58565
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0207_MRI_T1-FFE_br_20050131152542626_S6992_I2982	2501.0	3391.0	7381.0	4107.0	1630.0	11412.0	16224.0	11678.0	3142.0	15013.0	10334.0	8260.0	6525.0	16930.0	2804.0	5241.0	4709.0	3152.0	5146.0	2239.0	10574.0	4502.0	14112.0	12911.0	3125.0	18953.0	28217.0	16342.0	12065.0	12609.0	1065.0	2293.0	806.0	8195.0	1397384.0	1906597.10726
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0208_MRI_T1-FFE_br_20050131153316954_S6993_I2983	1980.0	2874.0	6408.0	4497.0	2999.0	11544.0	18533.0	14507.0	3346.0	12945.0	8898.0	8097.0	6707.0	11918.0	2397.0	4926.0	4711.0	2725.0	6166.0	3578.0	11797.0	4108.0	15437.0	13170.0	2197.0	27106.0	28364.0	14588.0	12227.0	11135.0	1729.0	2258.0	978.0	10836.0	1359186.0	1939659.33572
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0212_MRI_T1-FFE_br_20050131155916530_S6996_I2986	1939.0	2241.0	5831.0	3340.0	1757.0	8703.0	11314.0	10206.0	2786.0	11437.0	7179.0	7128.0	5366.0	10303.0	1770.0	4144.0	3886.0	2586.0	3332.0	2848.0	9601.0	3438.0	11210.0	11772.0	1939.0	17297.0	21679.0	13801.0	10710.0	11368.0	1276.0	2479.0	755.0	7061.0	1042349.0	1335387.4647
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0213_MRI_T1-FFE_br_20050131160723355_S6997_I2987	1973.0	2405.0	6484.0	4067.0	1262.0	9097.0	12145.0	10339.0	2288.0	12884.0	7443.0	8161.0	5436.0	13787.0	1645.0	3710.0	3809.0	3069.0	5452.0	2396.0	9226.0	3900.0	12963.0	11019.0	2096.0	23608.0	23001.0	14469.0	13348.0	11850.0	1372.0	2027.0	867.0	8527.0	1209945.0	1710471.12528
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0215_MRI_T1-FFE_br_20050131163317945_S6999_I2989	2473.0	2203.0	6743.0	4015.0	1991.0	10304.0	15619.0	13101.0	2496.0	10981.0	8603.0	7213.0	7102.0	13042.0	1903.0	4572.0	4444.0	3011.0	4504.0	3117.0	10120.0	3955.0	12629.0	11715.0	2609.0	15871.0	24223.0	16187.0	14322.0	13167.0	1310.0	2627.0	950.0	8500.0	1213298.0	1653553.86554
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0216_MRI_T1-FFE_br_20050131170726860_S7000_I2990	1930.0	2320.0	6631.0	4614.0	2449.0	9277.0	14907.0	11010.0	2737.0	14817.0	8264.0	8383.0	5803.0	10484.0	1938.0	4592.0	4438.0	2976.0	4159.0	3192.0	8769.0	3814.0	12630.0	12680.0	2224.0	16911.0	20887.0	14850.0	12691.0	10441.0	1001.0	2437.0	949.0	6679.0	1093244.0	1573037.75752
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0218_MRI_T1-FFE_br_20050131175510528_S7002_I2992	2420.0	3671.0	11248.0	5759.0	1664.0	10930.0	17532.0	12589.0	4010.0	17953.0	10093.0	8061.0	6026.0	14892.0	1758.0	5809.0	5064.0	2941.0	4578.0	2938.0	11848.0	5259.0	17930.0	14785.0	3346.0	20587.0	29610.0	20429.0	13569.0	12907.0	1376.0	2334.0	789.0	8302.0	1456909.0	2061881.11891
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0219_MRI_T1-FFE_br_20050201142945704_S7003_I2993	2623.0	2339.0	7055.0	3829.0	1564.0	10020.0	15622.0	10521.0	2775.0	13524.0	8256.0	7624.0	6185.0	14973.0	2057.0	4409.0	5657.0	2513.0	6603.0	2501.0	10111.0	4080.0	11117.0	12849.0	1941.0	21011.0	23414.0	16118.0	12612.0	13259.0	1131.0	2647.0	1299.0	9052.0	1226791.0	1627667.36896
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0221_MRI_T1-FFE_br_20050201144823456_S7005_I2995	3294.0	2894.0	6995.0	4211.0	2227.0	11903.0	16867.0	13540.0	2792.0	15832.0	10612.0	8318.0	7020.0	15059.0	1917.0	4228.0	4255.0	3591.0	5710.0	3041.0	9980.0	4193.0	15738.0	10790.0	2127.0	23093.0	26869.0	16054.0	14374.0	13339.0	1519.0	2517.0	1171.0	7417.0	1311799.0	1800977.17305
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0223_MRI_T1-FFE_br_20050201151653668_S7007_I2997	2583.0	3319.0	7747.0	4299.0	2304.0	10105.0	18974.0	15651.0	3429.0	17004.0	9040.0	8624.0	6853.0	15818.0	2379.0	6021.0	5576.0	3397.0	6056.0	3086.0	11820.0	4643.0	14452.0	12229.0	3107.0	16831.0	26787.0	14624.0	12182.0	12181.0	1294.0	3051.0	1305.0	9745.0	1457130.0	1936567.31474
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0225_MRI_T1-FFE_br_20050201153440311_S7009_I2999	2507.0	1752.0	5615.0	3753.0	1397.0	8420.0	15101.0	10699.0	2485.0	11889.0	6067.0	7068.0	4994.0	12356.0	1710.0	4018.0	4040.0	2544.0	4633.0	2140.0	9958.0	2862.0	13533.0	10647.0	1975.0	14698.0	20644.0	14415.0	11350.0	10109.0	1082.0	2215.0	797.0	7451.0	1150453.0	1572208.12507
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0226_MRI_T1-FFE_br_20050201154555400_S7010_I3000	1918.0	2186.0	4519.0	3275.0	1204.0	7329.0	12198.0	8763.0	1691.0	7818.0	6124.0	6370.0	4546.0	8985.0	1673.0	3724.0	3151.0	2109.0	3388.0	2371.0	8170.0	2942.0	10814.0	8824.0	1872.0	12248.0	16237.0	10369.0	10028.0	8934.0	1305.0	1264.0	653.0	5607.0	907453.0	1276070.6193
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0227_MRI_T1-FFE_br_20050201155548670_S7011_I3001	2171.0	1654.0	5008.0	3193.0	1488.0	8448.0	10792.0	11092.0	2497.0	12578.0	8294.0	7160.0	6084.0	12274.0	1946.0	5355.0	4583.0	2876.0	5772.0	2640.0	9764.0	3456.0	12733.0	9470.0	2132.0	18752.0	23426.0	14409.0	11587.0	12366.0	1235.0	2686.0	849.0	7783.0	1146022.0	1577961.46769
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0228_MRI_T1-FFE_br_20050201160935959_S7012_I3002	2178.0	2669.0	6148.0	3449.0	1495.0	9739.0	14082.0	10190.0	2489.0	12096.0	7348.0	8098.0	5488.0	12466.0	1792.0	4248.0	4356.0	3075.0	5624.0	2796.0	9872.0	3604.0	13504.0	10439.0	2444.0	18631.0	24325.0	11430.0	12220.0	9251.0	1006.0	2453.0	1131.0	8158.0	1120403.0	1535911.68391
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0229_MRI_T1-FFE_br_20050201162729283_S7013_I3003	2324.0	3889.0	7524.0	3733.0	1290.0	10696.0	17312.0	12026.0	2520.0	14688.0	9982.0	8113.0	6726.0	15305.0	1777.0	4265.0	6759.0	3588.0	6387.0	2707.0	11814.0	4627.0	14794.0	13302.0	3421.0	21921.0	25090.0	15978.0	14501.0	14326.0	1282.0	2126.0	1212.0	9411.0	1316547.0	1739953.15837
/usr/local/freesurfer/subjects/processedMRI/stats/ICBM_MNI_0230_MRI_T1-FFE_br_20050201164406274_S7014_I3004	2425.0	2919.0	7695.0	4043.0	1588.0	11574.0	18430.0	12238.0	2405.0	12792.0	9254.0	8274.0	6814.0	10971.0	2290.0	4609.0	5059.0	3035.0	5369.0	2669.0	10410.0	3458.0	16104.0	12093.0	2178.0	19649.0	26307.0	14713.0	12779.0	10322.0	1421.0	1201.0	1130.0	7732.0	1160088.0	1608108.17281
